species,official gene symbol,cell type,nicknames
Hs,GSTA2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TRIM8,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UGT2B10,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BHMT,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC25A37,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,DIO1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PYROXD2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BEST1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RHBG,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CAPG,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ACVR2B,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TUBB6,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CCZ1B,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UROC1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FMO5,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PRAP1,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HGFAC,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ENPP7,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FBXO2,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KCNJ8,HB2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ALX1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CD69,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,S100A8,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PRTN3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MPO,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AZU1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CTD-3252C9.4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ATF3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FOSB,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PON1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CXCL2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HAMP,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CXCL3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP4A22,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-817J15.3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PRSS57,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,IGLL1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AZGP1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,DUSP4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CFH,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MTRNR2L1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MATK,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC17A4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GNA15,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GP9,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FAM178B,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AFM,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FOS,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,C21orf33,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-254I22.3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PNMT,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ITGB2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HSPA6,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYTL1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SPP2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PLGLB2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CMTM5,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HLA-DRA,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PLGLB1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GATA2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LAT,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,JUNB,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PVT1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PTPN7,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MYB,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CRYM,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NR4A1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,XXbac-BPG252P9.9,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC3A1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ERICH5,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GADD45B,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC51A,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NFKBIZ,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GPLD1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ITGA2B,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PPP1R15A,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PPP2R2B,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP5-940J5.9,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PPBP,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PRG4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,IRF1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SPN,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CD9,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LPA,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PLEK,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UGT2B10,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ABCA6,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LGI4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KLF2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PF4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GLS2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SRGN,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NRGN,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC22A25,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,C17orf99,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ELF3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BEST1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC17A1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GADD45G,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,G6PC,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KLKB1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ACOT12,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RGS2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLCO1B1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BAAT,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KEL,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,EGR1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ICAM4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-386G11.10,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ALOX15B,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FGL1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SGIP1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CISH,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,S100A4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FETUB,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CFI,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,F13B,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LEPR,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NFE2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TSPAN32,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ITGA4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GATA1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LBP,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PON3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,VNN3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GFI1B,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP4A11,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,DPP7,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CFHR1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SAA4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,IER2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SOCS2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TSC22D3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CDHR5,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,DNAJA4,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CSRNP1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,BTG2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP3A7-CYP3A51P,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SMPDL3A,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP4F12,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ACTRT3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FERMT3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MBL2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,THBS1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TCEAL5,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
